michalak,mike,1,abc,hockey,soccer,bb,flag,pizza
jones,davey,1,abc,hockey,soccer,bb,flag,rock
smith,jon,1,abc,hockey,soccer,bb,flag,tyedye
web,donny,1,abc,hockey,soccer,bb,flag,tyedye
roberts,bob,1,dde,hockey,soccer,bb,flag,fb
davis,dave,1,dde,hockey,soccer,bb,flag,fb
carrot,mike,2,abc,hockey,soccer,bb,flag,pizza
beet,steve,2,abc,hockey,soccer,bb,flag,rock
celery,bob,2,abc,hockey,soccer,bb,flag,rock
lettuce,kim,2,abc,hockey,soccer,bb,flag,fb
cuc,carol,2,dde,hockey,soccer,bb,flag,fb
tomato,tom,2,dde,hockey,soccer,bb,flag,pizza
christy,chris,2,abc,hockey,soccer,bb,flag,tyedye
franklin,ben,2,abc,hockey,soccer,bb,flag,tyedye
madison,james,2,abc,hockey,soccer,bb,flag,rock
wash,george,1,abc,hockey,soccer,bb,flag,pizza
harris,wah,1,dde,hockey,soccer,bb,flag,rock
grits,jeremy,3,mcm,hockey,soccer,bb,fb,rock
